prob,method,quadrature,SN,PN,tally,sigma,timeDenovo,timeMCNP,fomMCNP,fomAdjusted
beam,CADIS,GL,2,3,6.73E-08,0.1267,13.224,123,0.506455928,0.457291513
beam,CADIS,GL,4,3,2.71E-08,0.6135,47.159,14.4,0.184505099,0.043159789
beam,CADIS,GL,10,3,5.94E-08,0.148,284.289,31.8,1.435652889,0.144433251
beam,CADIS,GL,16,3,6.28E-08,0.139,728.783,12.6,4.107710748,0.06981163
beam,CADIS,LS,10,3,7.02E-08,0.1286,44.345,16.2,3.732527776,0.998710876
beam,CADIS,LS,16,3,5.99E-08,0.148,104.245,13.2,3.458618323,0.38872461
beam,CADIS,LS,20,3,6.14E-08,0.1489,157.733,12.6,3.579645827,0.264796237
beam,CADIS,QR,2,3,7.49E-08,0.1658,13.258,76.8,0.47366329,0.403932362
beam,CADIS,QR,4,3,3.35E-10,1,49.073,10.8,0.092592593,0.016702019
beam,CADIS,QR,10,3,6.26E-08,0.2663,284.807,12,1.175104315,0.047509836
beam,CADIS,QR,16,3,5.76E-08,0.146,730.93,12.6,3.723263247,0.063095123
prob$\_$2,CADIS,GL,2,3,2.74E-07,0.0166,82.752,15915,0.228022226,0.226842729
prob$\_$2,CADIS,GL,4,3,2.83E-07,0.0158,297.726,7323,0.547011922,0.525641298
prob$\_$2,CADIS,GL,10,3,2.87E-07,0.017,1805.47,10473,0.330393165,0.281810976
prob$\_$2,CADIS,GL,16,3,2.82E-07,0.0116,4593.303,8904.6,0.834583138,0.550576561
prob$\_$2,CADIS,LS,10,3,2.82E-07,0.0204,280.533,8363.4,0.287314005,0.277989424
prob$\_$2,CADIS,LS,16,3,2.88E-07,0.0138,657.79,9324,0.563170065,0.52605772
prob$\_$2,CADIS,LS,20,3,2.89E-07,0.0196,997.352,10926,0.238246572,0.218317974
prob$\_$2,CADIS,QR,2,3,2.81E-07,0.0196,83.017,12320.4,0.211282268,0.209868139
prob$\_$2,CADIS,QR,4,3,2.80E-07,0.0095,296.907,8614.8,1.28619729,1.243345681
prob$\_$2,CADIS,QR,10,3,2.92E-07,0.0304,1803.466,11512.8,0.093987884,0.081258794
prob$\_$2,CADIS,QR,16,3,2.84E-07,0.0139,4589.612,9113.4,0.567923667,0.377706415
prob$\_$1,CADIS,GL,2,3,3.92E-09,0.0012,79.508,32804.4,21.16924694,21.11806311
prob$\_$1,CADIS,GL,4,3,3.93E-09,0.002,320.759,14598.6,17.12492979,16.75675208
prob$\_$1,CADIS,GL,10,3,3.93E-09,0.0015,1835.99,14403,30.85776883,27.36897088
prob$\_$1,CADIS,GL,16,3,3.92E-09,0.0015,4680.737,14303.4,31.07264318,23.41135889
prob$\_$1,CADIS,LS,10,3,3.93E-09,0.0013,278.147,14644.2,40.40616601,39.6530101
prob$\_$1,CADIS,LS,16,3,3.92E-09,0.0012,663.094,14085.6,49.30172974,47.08514832
prob$\_$1,CADIS,LS,20,3,3.95E-09,0.0059,1013.898,16116.6,1.782471315,1.676972683
prob$\_$1,CADIS,QR,2,3,3.93E-09,0.0017,84.958,10738.8,32.22154815,31.9686343
prob$\_$1,CADIS,QR,4,3,3.94E-09,0.0042,303.78,15501,3.657140985,3.586847929
prob$\_$1,CADIS,QR,10,3,3.92E-09,0.0011,2050.547,13981.8,59.10871855,51.54867725
prob$\_$1,CADIS,QR,16,3,3.92E-09,0.0012,4690.381,14101.8,49.24509243,36.95390356
maze1,CADIS,GL,2,3,9.50E-08,0.0153,134.91,647.4,6.598488183,5.460573494
maze1,CADIS,GL,4,3,9.38E-08,0.008,487.14,891.6,17.52467474,11.33281112
maze1,CADIS,GL,10,3,9.55E-08,0.0239,2943.651,935.4,1.871573264,0.451313899
maze1,CADIS,GL,16,3,9.63E-08,0.0257,8422.78,906.6,1.670006027,0.162285968
maze1,CADIS,LS,10,3,9.49E-08,0.0159,457.85,979.2,4.039562636,2.75254148
maze1,CADIS,LS,16,3,9.40E-08,0.0111,1107.093,803.4,10.10234545,4.248235577
maze1,CADIS,LS,20,3,9.43E-08,0.0149,1630.185,768,5.864976052,1.878212735
maze1,CADIS,QR,2,3,9.57E-08,0.0163,134.842,553.8,6.796289025,5.465517442
maze1,CADIS,QR,4,3,9.57E-08,0.0159,486.41,1092,3.622289133,2.506028049
maze1,CADIS,QR,10,3,9.34E-08,0.009,2939.415,745.8,16.55360554,3.350056649
maze1,CADIS,QR,16,3,9.54E-08,0.0183,7492.194,859.2,3.47539004,0.3575517
therapy-room,CADIS,GL,2,3,6.76E-09,0.0455,85.186,73.8,6.5451687,3.038213743
therapy-room,CADIS,GL,4,3,7.26E-09,0.0493,299.478,88.8,4.633329601,1.059652281
therapy-room,CADIS,GL,10,3,6.75E-09,0.0391,1804.458,59.4,11.01184374,0.350940639
therapy-room,CADIS,GL,16,3,6.65E-09,0.0421,4968.723,57,9.898307756,0.112263159
therapy-room,CADIS,LS,10,3,7.03E-09,0.0461,280.837,61.8,7.613943927,1.373295163
therapy-room,CADIS,LS,16,3,6.80E-09,0.0394,663.876,61.2,10.52582473,0.888431659
therapy-room,CADIS,LS,20,3,6.70E-09,0.0407,1000.34,61.8,9.768383614,0.568367736
therapy-room,CADIS,QR,2,3,6.77E-09,0.0547,88.689,46.2,7.234081075,2.477700522
therapy-room,CADIS,QR,4,3,6.75E-09,0.0375,307.966,78.6,9.047215154,1.83955938
therapy-room,CADIS,QR,10,3,6.37E-09,0.0397,1822.462,64.8,9.791381689,0.336191548
therapy-room,CADIS,QR,16,3,6.88E-09,0.0389,4593.497,64.2,10.293564,0.141882739
